Field Name,Description,Dimension
id,Unique inaturalist identifier for the observation,Text
observed_on,Date of the observation,Date
latitude,Latitude coordinate of the observation,Float
longitude,Longitude coordinate of the observation,Float
user_login,Username of the user who made the observation on inaturalist,Text
created_at,Timestamp of when the observation was created,Date and Time
name,Scientific name of the observed taxon,Text
preferred_common_name,Preferred common name of the observed taxon (if given),Text
native,Whether the observed taxon is native to the location,Boolean
photo_url,URL of the photo associated with the observation,Text (URL)
